Vivado Simulator 2018.3
Time resolution is 1 ps
000000 x 000000 is: xxxxxxxxxxxx
000111 x 001110 is: 000000000000
111110 x 001110 is: 000000000000
010101 x 100100 is: 000000000000
110011 x 100100 is: 000001100010
000000 x 011111 is: 111111100100
100000 x 100000 is: 110110110100
100000 x 011111 is: 000101101100
011111 x 011111 is: 000000000000
100000 x 000000 is: 010000000000
$finish called at time : 130 ns : File "C:/Users/c170095/Downloads/Source code/AM_top_tb.v" Line 79
000000 x 000000 is: xxxxxxxxxxxx
000111 x 001110 is: 000000000000
111110 x 001110 is: 000000000000
010101 x 100100 is: 000000000000
110011 x 100100 is: 000001100010
000000 x 011111 is: 111111100100
100000 x 100000 is: 110110110100
100000 x 011111 is: 000101101100
011111 x 011111 is: 000000000000
100000 x 000000 is: 010000000000
$finish called at time : 130 ns : File "C:/Users/c170095/Downloads/Source code/AM_top_tb.v" Line 79
